K;s2
1;0.17358948
2;0.13673855
3;0.084463455
4;0.06544521
5;0.056989655
6;0.05542258
7;0.05727533
8;0.05700531
9;0.05138856
10;0.047537662
11;0.045724113
12;0.045324292
13;0.039574873
14;0.04137575
15;0.042257786
16;0.033426836
17;0.03478312
18;0.034098282
19;0.032923345
20;0.03416688
21;0.036608182
22;0.02867627
23;0.029080117
24;0.031484682
25;0.028683677
26;0.028252501
27;0.027551217
28;0.029290088
29;0.02609836
30;0.028250301
31;0.027600326
32;0.027736312
33;0.025246335
34;0.025493061
35;0.024678245
36;0.025133653
37;0.024689129
38;0.022602724
39;0.023913234
40;0.02410235
41;0.021719642
42;0.021167738
43;0.020962436
44;0.022448119
45;0.021137752
46;0.021844959
47;0.022281934
48;0.022531325
49;0.019686053
50;0.019058902
51;0.017452553
52;0.021070208
53;0.018535709
54;0.018752508
55;0.020165764
56;0.018753465
57;0.018720571
58;0.018260624
59;0.016987992
60;0.018234823
61;0.016669197
