K	Variance
1	0.22053222
2	0.15074714
3	0.11694721
4	0.09647013
5	0.09613118
6	0.07056283
7	0.053845763
8	0.066314064
9	0.06005822
10	0.047789387
11	0.06829067
12	0.06053147
13	0.0583089
14	0.05041898
15	0.056718778
16	0.043110386
17	0.04813176
18	0.046398737
19	0.050063107
20	0.043010082
21	0.038917452
22	0.04628268
23	0.04146441
24	0.03969337
25	0.03797633
26	0.041178133
27	0.0338978
28	0.037228152
29	0.033010323
30	0.038671315
31	0.034321245
32	0.03540524
33	0.03455326
34	0.03411594
35	0.030256167
36	0.031435322
37	0.030346952
38	0.02892844
39	0.027922375
40	0.027986782
41	0.030411605
42	0.029187493
43	0.030034868
44	0.027980829
45	0.02844411
46	0.026637092
47	0.02638239
48	0.027502906
49	0.025256317
50	0.026913803
51	0.02555924
52	0.025648402
53	0.022672752
54	0.023705484
55	0.024969729
56	0.022312697
57	0.025241511
58	0.024329709
59	0.025062244
60	0.021403058
61	0.021517986
62	0.022515964
63	0.021124728
64	0.020861639
65	0.020449542
66	0.018587427
67	0.020170908
68	0.021064466
69	0.020759586
70	0.017700989
71	0.022333158
72	0.017744733
73	0.01908545
74	0.019321986
75	0.021105446
76	0.01913116
77	0.018019635
78	0.01718147
79	0.01644119
80	0.01780222
81	0.01780548
82	0.01848393
83	0.018190466
84	0.017263241
85	0.017767947
86	0.017619262
87	0.01683021
88	0.016290277
89	0.016582644
90	0.018381307
91	0.015640095
92	0.016463155
93	0.01640012
94	0.015390298
95	0.015955446
96	0.016135683
97	0.015287439
98	0.01519947
99	0.015223926
100	0.014970762
101	0.014139908
102	0.014044175
103	0.01450251
104	0.015731968
105	0.013992449
106	0.014231178
107	0.014463585
108	0.014647597
109	0.014466252
110	0.014634979
111	0.013902288
112	0.012585408
113	0.013492418
114	0.013879375
115	0.0135657275
116	0.0141918715
117	0.013417485
118	0.013823524
119	0.012255126
120	0.0120878685
121	0.012677163
122	0.012651374
123	0.013077415
124	0.012784784
125	0.012996981
126	0.013219683
127	0.012771531
128	0.011867333
129	0.011112723
130	0.011976077
131	0.012091714
132	0.011951111
133	0.0124683445
134	0.012550781
135	0.011946427
136	0.012289832
137	0.012179647
138	0.012135645
139	0.011564009
140	0.011749827
141	0.01121553
142	0.010742346
143	0.011390097
144	0.011825723
145	0.01103823
146	0.0112299435
147	0.0106760925
148	0.010229447
149	0.010839658
150	0.010905396
151	0.010733253
152	0.01029984
153	0.011059916
154	0.010620122
155	0.010987981
156	0.01034036
157	0.011122206
158	0.010461544
159	0.010059985
160	0.010318868
161	0.010327351
162	0.010113154
163	0.010260723
164	0.009876142
165	0.009928094
166	0.009735408
167	0.009756367
168	0.0104620205
169	0.01028817
170	0.00956383
171	0.009084074
172	0.009653062
173	0.009359776
174	0.009646243
175	0.009704873
176	0.009155157
177	0.009681363
178	0.009019979
179	0.009679795
180	0.009402968
181	0.009327497
182	0.008598929
183	0.008888007
184	0.008747722
185	0.008836406
186	0.008122059
187	0.008604709
188	0.008104351
189	0.0083798645
190	0.008500763
191	0.008220938
192	0.008391018
193	0.008607877
194	0.008511795
195	0.008063975
196	0.008064131
197	0.007869544
198	0.008545201
199	0.007826818
200	0.0076672523
201	0.0077963104
202	0.0079976795
203	0.008465698
204	0.0078029786
205	0.008579794
206	0.007508815
207	0.00767517
208	0.0075811315
209	0.0075675067
210	0.007216897
211	0.0081617795
212	0.0075665433
213	0.007573151
214	0.0070443987
215	0.0075030024
216	0.0069669574
217	0.0069578816
218	0.006929561
219	0.00692149
220	0.00669246
221	0.006769514
222	0.006739948
223	0.006759306
224	0.006753215
225	0.007005375
226	0.0070795887
227	0.007322428
228	0.006995336
229	0.0069649382
230	0.0064075873
231	0.0063062306
232	0.0063248533
