Th1;Th2;CN;Nodes;Edges;Metric
0.006;0.01;15;149;356;79.54643
Th1;Th2;CN;Nodes;Edges;Metric
0.006;0.012;15;108;223;78.74192
0.006;0.01;15;149;356;79.54643
0.007;0.01;15;108;315;77.11129
0.008;0.01;15;93;263;76.344025
0.009;0.01;15;72;222;74.97442
0.01;0.01;15;61;217;72.46414
0.011;0.01;15;61;221;73.85843
0.012;0.01;15;58;214;72.80885
0.013;0.01;15;58;212;72.896225
0.014;0.01;15;58;218;73.1064
0.015;0.01;15;56;215;72.84079
0.016;0.01;15;56;215;72.84079
0.017;0.01;15;56;215;72.84079
0.018;0.01;15;56;215;72.84079
0.019;0.01;15;56;215;72.80675
0.02;0.01;15;56;215;72.80675
0.021;0.01;15;56;215;72.80675
0.022;0.01;15;56;215;72.80675
0.023;0.01;15;56;215;72.80675
0.024;0.01;15;56;215;72.80675
0.025;0.01;15;56;215;72.80675
0.026;0.01;15;56;215;72.80675
0.027;0.01;15;56;215;72.80675
0.028;0.01;15;56;215;72.80675
0.029;0.01;15;56;215;72.80675
0.03;0.01;15;56;215;72.80675
0.031;0.01;15;56;215;72.80675
0.006;0.011;15;132;287;79.279816
0.007;0.011;15;102;265;77.16241
0.008;0.011;15;83;248;75.63573
0.009;0.011;15;67;217;73.88628
0.01;0.011;15;59;209;73.70286
0.011;0.011;15;57;208;73.4255
0.012;0.011;15;54;183;73.99358
0.013;0.011;15;54;193;74.13865
0.014;0.011;15;50;180;73.63394
0.015;0.011;15;50;178;73.59448
0.016;0.011;15;49;177;73.25606
0.017;0.011;15;50;174;72.758896
0.018;0.011;15;50;174;72.758896
0.019;0.011;15;50;174;72.83212
0.02;0.011;15;50;174;72.83212
0.021;0.011;15;50;174;72.83212
0.022;0.011;15;50;176;72.904854
0.023;0.011;15;50;176;72.904854
0.024;0.011;15;50;176;72.904854
0.025;0.011;15;50;176;72.904854
0.026;0.011;15;50;176;72.904854
0.027;0.011;15;50;176;72.904854
0.028;0.011;15;50;176;72.904854
0.029;0.011;15;50;176;72.904854
0.03;0.011;15;50;176;72.904854
0.031;0.011;15;50;176;72.904854
0.006;0.012;15;108;223;78.74192
0.007;0.012;15;96;212;77.74475
0.008;0.012;15;80;192;76.88957
0.009;0.012;15;67;179;75.4901
0.01;0.012;15;61;172;74.85012
0.011;0.012;15;55;166;74.84047
0.012;0.012;15;51;159;72.931206
0.013;0.012;15;51;172;75.17276
0.014;0.012;15;50;161;74.092445
0.015;0.012;15;52;174;73.41212
0.016;0.012;15;51;171;73.57044
0.017;0.012;15;51;171;73.57044
0.018;0.012;15;51;171;73.57044
0.019;0.012;15;51;169;73.709915
0.02;0.012;15;51;169;73.709915
0.021;0.012;15;51;169;73.709915
0.022;0.012;15;51;168;73.71223
0.023;0.012;15;51;168;73.71223
0.024;0.012;15;51;168;73.71223
0.025;0.012;15;51;168;73.71223
0.026;0.012;15;51;168;73.71223
0.027;0.012;15;51;168;73.71223
0.028;0.012;15;51;168;73.71223
0.029;0.012;15;51;168;73.71223
0.03;0.012;15;51;168;73.71223
0.031;0.012;15;51;168;73.71223
0.006;0.013;15;95;182;78.24132
0.007;0.013;15;84;169;77.464874
0.008;0.013;15;70;168;76.58011
0.009;0.013;15;64;156;75.46111
0.01;0.013;15;54;144;75.16876
0.011;0.013;15;51;148;74.39661
0.012;0.013;15;45;141;72.61253
0.013;0.013;15;41;133;70.76945
0.014;0.013;15;38;134;69.759224
0.015;0.013;15;39;133;70.80492
0.016;0.013;15;39;133;70.83616
0.017;0.013;15;38;127;70.57347
0.018;0.013;15;38;127;70.565506
0.019;0.013;15;38;128;70.673805
0.02;0.013;15;39;129;71.83536
0.021;0.013;15;39;129;71.83536
0.022;0.013;15;39;129;71.83536
0.023;0.013;15;39;129;71.83536
0.024;0.013;15;39;129;71.83507
0.025;0.013;15;39;129;71.83507
0.026;0.013;15;39;129;71.83507
0.027;0.013;15;39;129;71.83507
0.028;0.013;15;39;129;71.83507
0.029;0.013;15;39;129;71.83507
0.03;0.013;15;39;129;71.83507
0.031;0.013;15;39;129;71.83507
0.006;0.014;15;76;137;77.76372
0.007;0.014;15;65;126;76.90223
0.008;0.014;15;59;122;76.79039
0.009;0.014;15;54;116;76.24327
0.01;0.014;15;50;120;74.74172
